case	ReTau	ImTau	z	N	LHS_re	RHS_re	RelErr	Note
S	0.11	8.0	0.52	120	0.2367077968428079	3.1478041259849685	5.274903830841319	
z+1	0.11	8.0	0.52	120	-3.1478041259849685	3.1478041259849685	2.0	
z+tau	0.11	8.0	0.52	120	nan	nan	nan	math range error
tau+1	0.11	8.0	0.413	120	3.262702789398367	3.262702789398367	1.9040584913486687e-17	
S	0.11	8.0	0.413	120	0.2858291949002186	3.262702789398367	6.231959297751045	
z+1	0.11	8.0	0.413	120	-3.262702789398367	3.262702789398367	2.0	
z+tau	0.11	8.0	0.413	120	nan	nan	nan	math range error
tau+1	0.07	6.5	0.37	120	3.423129195615263	3.423129195615263	2.913418656843999e-17	
S	0.07	6.5	0.37	120	0.20016816475097454	3.423129195615263	5.3396184772574635	
z+1	0.07	6.5	0.37	120	-3.4231291956152625	3.423129195615263	2.0	
z+tau	0.07	6.5	0.37	120	nan	nan	nan	math range error
tau+1	0.07	6.5	0.52	120	3.147804125984969	3.147804125984969	1.4567093284219995e-17	
S	0.07	6.5	0.52	120	0.15052911070981048	3.147804125984969	4.275471666145052	
z+1	0.07	6.5	0.52	120	-3.147804125984969	3.147804125984969	2.0	
z+tau	0.07	6.5	0.52	120	nan	nan	nan	math range error
tau+1	0.07	6.5	0.413	120	3.262702789398367	3.262702789398367	0.0	
S	0.07	6.5	0.413	120	0.18184070136706182	3.262702789398367	5.059243873225993	
z+1	0.07	6.5	0.413	120	-3.262702789398367	3.262702789398367	2.0	
z+tau	0.07	6.5	0.413	120	nan	nan	nan	math range error
tau+1	0.11	8.0	0.37	160	3.4231291956152625	3.4231291956152625	0.0	
S	0.11	8.0	0.37	160	0.3146067622550243	3.4231291956152625	6.572158175443417	
z+1	0.11	8.0	0.37	160	-3.4231291956152625	3.4231291956152625	2.0	
z+tau	0.11	8.0	0.37	160	nan	nan	nan	math range error
tau+1	0.11	8.0	0.52	160	3.147804125984968	3.1478041259849685	1.4107904814792254e-16	
S	0.11	8.0	0.52	160	0.2367077968428079	3.1478041259849685	5.274903830841319	
z+1	0.11	8.0	0.52	160	-3.1478041259849685	3.1478041259849685	2.0	
z+tau	0.11	8.0	0.52	160	nan	nan	nan	math range error
tau+1	0.11	8.0	0.413	160	3.262702789398367	3.262702789398367	1.9040584913486687e-17	
S	0.11	8.0	0.413	160	0.2858291949002186	3.262702789398367	6.231959297751045	
z+1	0.11	8.0	0.413	160	-3.262702789398367	3.262702789398367	2.0	
z+tau	0.11	8.0	0.413	160	nan	nan	nan	math range error
tau+1	0.07	6.5	0.37	160	3.423129195615263	3.423129195615263	2.913418656843999e-17	
S	0.07	6.5	0.37	160	0.20016816475097454	3.423129195615263	5.3396184772574635	
z+1	0.07	6.5	0.37	160	-3.4231291956152625	3.423129195615263	2.0	
z+tau	0.07	6.5	0.37	160	nan	nan	nan	math range error
tau+1	0.07	6.5	0.52	160	3.147804125984969	3.147804125984969	1.4567093284219995e-17	
S	0.07	6.5	0.52	160	0.15052911070981048	3.147804125984969	4.275471666145052	
z+1	0.07	6.5	0.52	160	-3.147804125984969	3.147804125984969	2.0	
z+tau	0.07	6.5	0.52	160	nan	nan	nan	math range error
tau+1	0.07	6.5	0.413	160	3.262702789398367	3.262702789398367	0.0	
S	0.07	6.5	0.413	160	0.18184070136706182	3.262702789398367	5.059243873225993	
z+1	0.07	6.5	0.413	160	-3.262702789398367	3.262702789398367	2.0	
z+tau	0.07	6.5	0.413	160	nan	nan	nan	math range error
